F/MHz,dB (252a),deg (252a)
20,-22.31591532,62.08596157
20.200401,-22.304235,59.05530254
20.400802,-22.24337585,57.39279837
20.601202,-22.31861354,53.66222645
20.801603,-22.24332192,51.80119798
21.002004,-22.23124963,49.11754615
21.202405,-22.33914348,45.92553385
21.402806,-22.13927093,42.32104406
21.603206,-22.21775201,40.93083063
21.803607,-22.23714159,36.35888877
22.004008,-22.11761148,33.5011149
22.204409,-22.19732145,30.35813723
22.40481,-22.11041608,27.69878024
22.60521,-22.10308378,23.22525629
22.805611,-22.04519338,20.01641116
23.006012,-22.0274926,16.23545936
23.206413,-21.94475568,13.43928738
23.406814,-21.94540961,9.220749409
23.607214,-21.83574861,5.532509615
23.807615,-21.75093687,1.775500449
24.008016,-21.61618826,-1.736628847
24.208417,-21.56908046,-5.747841963
24.408818,-21.41868957,-9.694782028
24.609218,-21.53327439,-14.06290681
24.809619,-21.24888066,-18.00049262
25.01002,-21.08822891,-22.74103222
25.210421,-20.98294532,-27.52584084
25.410822,-20.82145977,-32.00176537
25.611222,-20.77232053,-36.98623557
25.811623,-20.52879509,-42.46875417
26.012024,-20.48261451,-47.98654191
26.212425,-20.28489532,-52.83842544
26.412826,-20.32273058,-58.13098987
26.613226,-20.2646024,-64.8935816
26.813627,-20.1716032,-70.9651239
27.014028,-20.23725893,-77.03884617
27.214429,-20.23039015,-84.14823507
27.41483,-20.36972422,-90.57445186
27.61523,-20.50470231,-97.69182261
27.815631,-20.69366307,-105.040464
28.016032,-21.15412795,-110.8146256
28.216433,-21.50330851,-117.8669233
28.416834,-22.06638489,-123.5855767
28.617234,-22.57528292,-130.3606838
28.817635,-23.32364328,-135.5556008
29.018036,-23.98066151,-141.7552986
29.218437,-24.59015886,-145.0283842
29.418838,-25.40126928,-148.8063163
29.619238,-26.12309664,-152.6591387
29.819639,-27.14509443,-154.9633051
30.02004,-27.96559433,-156.9189062
30.220441,-28.78299817,-158.5655103
30.420842,-29.60051468,-157.5793442
30.621242,-30.31579124,-157.3861185
30.821643,-30.97173093,-156.9417601
31.022044,-31.2833931,-157.5130148
31.222445,-31.74487314,-155.447001
31.422846,-32.13217098,-154.6981415
31.623246,-32.52285289,-150.4161456
31.823647,-32.45985241,-149.7563327
32.024048,-32.99550315,-149.0559749
32.224449,-32.89035346,-145.5824684
32.42485,-33.16632376,-143.0332469
32.625251,-33.03940471,-146.3955882
32.825651,-32.24692324,-142.0523741
33.026052,-32.6555809,-144.8687781
33.226453,-32.35899729,-144.9337842
33.426854,-32.49190865,-144.2644126
33.627255,-32.58894946,-144.4395363
33.827655,-32.47347374,-145.3743913
34.028056,-32.72567879,-148.3688421
34.228457,-31.97007159,-143.5010887
34.428858,-32.03291559,-146.7498355
34.629259,-32.00297151,-143.3443005
34.829659,-32.01540459,-148.2361203
35.03006,-32.61415646,-147.5243387
35.230461,-32.49402385,-145.2346416
35.430862,-32.48429119,-151.6646805
35.631263,-32.02066176,-148.3557049
35.831663,-32.60907755,-149.9448011
36.032064,-32.50057633,-153.0542652
36.232465,-32.65460593,-148.2460127
36.432866,-32.6318018,-154.4555721
36.633267,-32.27393654,-151.8148369
36.833667,-32.4660977,-153.4002163
37.034068,-32.66827628,-156.0519733
37.234469,-32.48955821,-154.1537643
37.43487,-32.77812138,-156.9254691
37.635271,-32.72194091,-155.1629947
37.835671,-32.51799007,-153.2985556
38.036072,-33.14841373,-157.270228
38.236473,-32.80897216,-158.2862826
38.436874,-32.65207944,-155.4652733
38.637275,-33.52241328,-156.3388861
38.837675,-33.08489515,-155.5891274
39.038076,-33.374096,-155.8930664
39.238477,-33.55908697,-156.8790251
39.438878,-33.31022438,-157.2602522
39.639279,-33.71234451,-157.5091816
39.839679,-32.73848066,-157.3018605
40.04008,-32.88608542,-155.1398982
40.240481,-33.56416576,-156.5349821
40.440882,-33.54025573,-157.056302
40.641283,-33.55908979,-156.3344844
40.841683,-33.38214079,-155.9156575
41.042084,-33.35494746,-155.9774214
41.242485,-33.49637038,-149.6497632
41.442886,-33.08114845,-153.8225542
41.643287,-33.05257011,-154.9219963
41.843687,-33.2433925,-157.5514217
42.044088,-33.29919163,-152.8891909
42.244489,-33.10373918,-154.2878326
42.44489,-33.58070221,-154.1928467
42.645291,-32.71794225,-154.0550812
42.845691,-33.06014829,-153.8872393
43.046092,-32.81992327,-155.5077477
43.246493,-32.91534634,-154.1572609
43.446894,-33.11512329,-153.9861321
43.647295,-32.82423344,-156.4995912
43.847695,-32.5608697,-153.0973928
44.048096,-32.75703097,-154.4776957
44.248497,-32.79143695,-156.1734917
44.448898,-32.50424843,-153.5222605
44.649299,-32.26156086,-157.5824678
44.849699,-32.20300108,-155.8597799
45.0501,-32.86245208,-155.951032
45.250501,-32.45995899,-154.7141583
45.450902,-32.14196807,-156.1023497
45.651303,-31.98754692,-157.58478
45.851703,-31.89606071,-154.0710306
46.052104,-31.86605463,-158.7617885
46.252505,-32.09430944,-159.0536393
46.452906,-32.01580958,-158.2362837
46.653307,-31.80259747,-163.3247806
46.853707,-31.67504953,-159.695361
47.054108,-31.41959223,-159.7842056
47.254509,-31.84028281,-160.2470038
47.45491,-31.26276593,-160.1093429
47.655311,-31.78730735,-162.3213262
47.855711,-31.66749575,-164.7419427
48.056112,-31.47592346,-162.8203707
48.256513,-31.48551901,-163.6998188
48.456914,-31.63398136,-165.0708194
48.657315,-31.20057015,-164.3740759
48.857715,-31.1171507,-168.1151079
49.058116,-31.32770372,-166.6332118
49.258517,-31.38513455,-169.5738836
49.458918,-31.14514408,-167.8786311
49.659319,-31.11615656,-169.1908754
49.859719,-31.06064692,-170.2556019
50.06012,-31.15359408,-172.4639851
50.260521,-31.18251425,-172.924245
50.460922,-31.16160803,-174.0180046
50.661323,-30.93153334,-175.0357301
50.861723,-31.18345389,-175.089778
51.062124,-30.71121843,-172.8474514
51.262525,-31.06124195,-176.5765056
51.462926,-31.29027821,-176.0768824
51.663327,-31.17548834,-175.8051598
51.863727,-30.87601179,-178.5480372
52.064128,-31.42312764,-178.0088776
52.264529,-31.19076819,179.9777107
52.46493,-31.49115576,-178.6591674
52.665331,-31.464224,-179.1937706
52.865731,-31.40888368,177.9246453
53.066132,-31.80605597,179.1830941
53.266533,-31.80128113,-179.5798554
53.466934,-31.61463587,175.5225143
53.667335,-31.60315699,176.4763635
53.867735,-31.92718472,171.6142621
54.068136,-31.97688014,173.8928852
54.268537,-31.9031129,171.6312001
54.468938,-32.21744465,171.9250249
54.669339,-32.06289294,173.383484
54.869739,-32.28710984,170.2999599
55.07014,-32.40036015,166.5102344
55.270541,-32.58695176,168.0501101
55.470942,-32.62389504,170.4051027
55.671343,-32.68292721,166.5363763
55.871743,-32.96441762,163.7516901
56.072144,-33.06539641,166.0587508
56.272545,-33.27388973,167.5054046
56.472946,-33.04445807,165.6304824
56.673347,-33.18562861,163.6636431
56.873747,-33.27926738,163.2552259
57.074148,-33.58891565,162.2087215
57.274549,-33.77833295,166.0067009
57.47495,-33.81173361,163.150781
57.675351,-34.36570073,165.5180619
57.875752,-34.03576358,163.6996423
58.076152,-35.15890243,161.2358826
58.276553,-34.94813443,160.9239032
58.476954,-35.00931762,159.8129784
58.677355,-34.97221905,159.5870804
58.877756,-35.35505005,160.9577436
59.078156,-35.50356174,162.7244527
59.278557,-35.74050432,164.0870874
59.478958,-35.98996822,164.5644117
59.679359,-36.33546625,164.6861022
59.87976,-36.55299107,162.9693059
60.08016,-36.57870452,168.8028538
60.280561,-36.86391055,167.9826952
60.480962,-36.87094801,167.9472626
60.681363,-37.85754244,163.9809895
60.881764,-37.67901204,171.3114235
61.082164,-37.00394126,164.0844841
61.282565,-38.14212733,171.9324196
61.482966,-39.31383011,174.9627446
61.683367,-38.86840373,176.7665874
61.883768,-38.78637592,177.3695235
62.084168,-39.69459521,-178.9480744
62.284569,-38.78473768,-174.9822795
62.48497,-38.54680341,175.7802108
62.685371,-38.62933436,-177.3488607
62.885772,-39.43724604,-166.4386713
63.086172,-39.52714259,-166.7236748
63.286573,-38.88537578,-158.3518529
63.486974,-38.01932153,-157.1518061
63.687375,-37.9851727,-162.8807809
63.887776,-38.27661861,-156.5320902
64.088176,-37.91900994,-162.5008846
64.288577,-37.66134812,-155.098046
64.488978,-37.37664975,-149.3993798
64.689379,-37.20146964,-157.8092666
64.88978,-37.1308568,-149.7255333
65.09018,-37.75149848,-148.9502754
65.290581,-36.28726874,-147.7889
65.490982,-37.58778235,-144.9143288
65.691383,-35.32331268,-144.9890171
65.891784,-35.44585508,-144.5935705
66.092184,-35.02650093,-142.5838976
66.292585,-34.97425772,-143.0461042
66.492986,-34.81625721,-142.889622
66.693387,-33.77743303,-146.231367
66.893788,-33.85331522,-139.2507271
67.094188,-33.4453778,-142.1217269
67.294589,-33.40690034,-144.3426725
67.49499,-33.32849284,-140.1396881
67.695391,-33.2576544,-136.4627247
67.895792,-32.2911766,-140.881174
68.096192,-32.0810063,-143.4093897
68.296593,-32.41038183,-143.1424532
68.496994,-32.49927857,-148.6801858
68.697395,-31.62606054,-143.1328294
68.897796,-31.63677122,-143.7073475
69.098196,-31.43930471,-144.1481283
69.298597,-31.53113721,-145.2869867
69.498998,-31.104076,-145.6546865
69.699399,-30.68424678,-147.8651232
69.8998,-30.22414895,-148.3911442
70.1002,-30.32208331,-148.7352989
70.300601,-30.39147694,-148.3019205
70.501002,-30.08573734,-151.9587275
70.701403,-30.1465602,-150.4707953
70.901804,-30.03516235,-150.6483891
71.102204,-29.15454554,-153.5465302
71.302605,-29.63787506,-157.3812839
71.503006,-29.33319886,-155.214692
71.703407,-29.0967278,-156.9383538
71.903808,-28.81892332,-157.4130845
72.104208,-29.22116214,-160.700334
72.304609,-29.06577143,-158.6923001
72.50501,-28.73233327,-159.2616834
72.705411,-28.78708769,-159.5694315
72.905812,-28.9006066,-161.587431
73.106212,-28.48146293,-162.6518743
73.306613,-28.96347713,-165.8933101
73.507014,-28.51035385,-164.9695363
73.707415,-28.23993027,-165.6683974
73.907816,-28.31566632,-166.8571327
74.108216,-28.18457293,-169.7897925
74.308617,-28.23126253,-168.063653
74.509018,-28.62229907,-169.5927356
74.709419,-28.29639699,-171.9666926
74.90982,-27.90767974,-171.5934363
75.11022,-28.43881441,-174.4788775
75.310621,-28.45165635,-174.4125489
75.511022,-28.23913795,-173.4866281
75.711423,-28.29069741,-177.3234874
75.911824,-28.44465762,179.8914424
76.112224,-28.14007526,-177.5402126
76.312625,-28.14145649,-179.7596351
76.513026,-28.4130015,178.7760594
76.713427,-28.2028881,178.2210172
76.913828,-28.34737842,176.5896129
77.114228,-28.37651542,176.5304274
77.314629,-28.44280317,172.8856714
77.51503,-28.81457073,177.0703371
77.715431,-28.80868291,173.3809431
77.915832,-28.91770216,172.3542634
78.116232,-28.96534469,170.6075924
78.316633,-28.95182776,171.5695264
78.517034,-29.27068192,171.221564
78.717435,-29.25257097,170.7877947
78.917836,-29.53587292,169.9046325
79.118236,-29.75107881,168.4015233
79.318637,-29.99992045,169.8416017
79.519038,-30.15619326,169.3672573
79.719439,-30.07905572,169.6798998
79.91984,-30.70254881,170.7834828
80.12024,-30.6842902,168.1477035
80.320641,-30.95033487,171.171053
80.521042,-30.9229954,170.9443973
80.721443,-31.16975389,173.921965
80.921844,-31.50288482,170.9665581
81.122244,-31.55012461,173.306855
81.322645,-31.72036469,176.930453
81.523046,-32.06415316,179.5690381
81.723447,-32.13150785,-179.0514282
81.923848,-32.1161096,-175.1665947
82.124248,-32.60961593,-173.405771
82.324649,-32.24076001,-171.9461247
82.52505,-32.00398543,-170.6335897
82.725451,-31.9732586,-166.2769204
82.925852,-31.76799127,-162.5074745
83.126253,-31.61573485,-162.2146985
83.326653,-31.1529272,-158.4541835
83.527054,-30.98533495,-155.074849
83.727455,-30.63949089,-154.9699502
83.927856,-30.2125943,-151.9288489
84.128257,-29.32488544,-153.0476543
84.328657,-28.75674999,-151.3491938
84.529058,-28.46136051,-150.6478756
84.729459,-28.1670131,-147.511542
84.92986,-27.64160801,-148.7321815
85.130261,-26.88717424,-148.1260207
85.330661,-26.62352377,-149.2946088
85.531062,-26.01061397,-149.4622689
85.731463,-25.4965142,-150.0055764
85.931864,-25.15127437,-150.3027129
86.132265,-24.72820274,-150.9217702
86.332665,-24.37877776,-153.3472926
86.533066,-23.95503716,-153.1677914
86.733467,-23.49113182,-156.3714468
86.933868,-23.03695768,-156.3364017
87.134269,-22.55271737,-158.7917318
87.334669,-22.30110313,-159.6820588
87.53507,-21.88370457,-162.9220415
87.735471,-21.59254543,-163.9918743
87.935872,-21.2365647,-166.7831077
88.136273,-20.85075635,-168.077832
88.336673,-20.62142134,-171.3408111
88.537074,-20.38684809,-173.4810038
88.737475,-20.12903809,-176.6811183
88.937876,-19.8759291,-179.2938104
89.138277,-19.69621456,178.9414773
89.338677,-19.58596165,176.5095967
89.539078,-19.35769657,173.1090368
89.739479,-19.13352812,171.1705123
89.93988,-19.04851129,168.4172691
90.140281,-18.91633589,166.0901619
90.340681,-19.05450017,163.5731785
90.541082,-18.87152236,160.785184
90.741483,-18.79450365,158.2421289
90.941884,-18.76129627,156.3108837
91.142285,-18.64290807,153.4436567
91.342685,-18.67562989,151.6194482
91.543086,-18.73407249,149.7838223
91.743487,-18.63997126,147.5354027
91.943888,-18.60253334,145.6250643
92.144289,-18.70614197,143.2778117
92.344689,-18.70389137,141.5734613
92.54509,-18.62908186,139.7881011
92.745491,-18.6514709,138.1249283
92.945892,-18.6654243,136.3650969
93.146293,-18.77645856,133.8368629
93.346693,-18.62139036,131.551758
93.547094,-18.77088818,130.5784623
93.747495,-18.72976475,128.788072
93.947896,-18.7097049,127.1244227
