F/MHz,dB (254a),deg (254a)
20,-19.74159279,39.01074399
20.200401,-19.62204357,37.14265844
20.400802,-19.63508698,34.93364873
20.601202,-19.4987141,33.31836166
20.801603,-19.35312534,31.56828178
21.002004,-19.27834824,29.42078557
21.202405,-19.19398161,27.17837891
21.402806,-19.10059735,25.60193828
21.603206,-18.94461497,22.79882531
21.803607,-18.86599093,20.89613306
22.004008,-18.85026142,18.74688359
22.204409,-18.67613284,16.79302897
22.40481,-18.6072393,14.47506243
22.60521,-18.52427374,12.22125384
22.805611,-18.42405349,10.39821289
23.006012,-18.34346579,8.161998363
23.206413,-18.30871924,5.490481606
23.406814,-18.20006809,2.882633844
23.607214,-18.09726554,0.327977087
23.807615,-18.07483483,-2.513390028
24.008016,-17.98597523,-4.744070963
24.208417,-17.97800689,-7.535979105
24.408818,-17.84092188,-10.71462355
24.609218,-17.76749648,-13.05610994
24.809619,-17.75139187,-16.83809744
25.01002,-17.71935349,-19.70531261
25.210421,-17.71301399,-23.17343279
25.410822,-17.70424077,-27.05260611
25.611222,-17.67523331,-31.15557851
25.811623,-17.64451151,-35.02779058
26.012024,-17.75516835,-38.96719387
26.212425,-17.78105174,-43.32776894
26.412826,-17.98615327,-47.75620532
26.613226,-18.090906,-53.41729739
26.813627,-18.38680279,-58.47473548
27.014028,-18.78225322,-63.96165715
27.214429,-19.16858473,-69.78149406
27.41483,-19.71520762,-75.32956913
27.61523,-20.430341,-80.47918478
27.815631,-21.28044028,-85.4748033
28.016032,-22.14111628,-91.90432834
28.216433,-23.29467993,-96.95820011
28.416834,-24.69526746,-100.0613191
28.617234,-26.16873158,-105.0209726
28.817635,-27.91612315,-103.3969551
29.018036,-29.57587323,-103.4712472
29.218437,-31.2656562,-99.17799371
29.418838,-33.58282934,-91.10384728
29.619238,-34.70634296,-78.49260139
29.819639,-35.91717861,-65.66257919
30.02004,-34.81973018,-49.50186565
30.220441,-34.42520912,-43.84271278
30.420842,-33.50248531,-37.15820362
30.621242,-32.18226544,-32.88223859
30.821643,-31.84218848,-29.62924472
31.022044,-30.92905131,-31.09593485
31.222445,-30.51654944,-30.61389178
31.422846,-30.09615536,-30.69440115
31.623246,-29.59971508,-31.6270773
31.823647,-29.74675575,-33.28677653
32.024048,-29.55330071,-34.43226468
32.224449,-29.21795623,-35.97830323
32.42485,-29.05026523,-34.57836495
32.625251,-29.22453283,-36.74386167
32.825651,-29.07761135,-37.32221072
33.026052,-29.00611292,-36.70877331
33.226453,-29.15917477,-38.87393537
33.426854,-29.1824636,-43.41803043
33.627255,-29.36414244,-42.88524843
33.827655,-29.3264408,-42.43566904
34.028056,-29.30731915,-44.76788639
34.228457,-29.7427753,-43.63720128
34.428858,-29.42614557,-42.77639733
34.629259,-29.64264772,-44.49263197
34.829659,-29.684591,-45.71628126
35.03006,-29.94949515,-46.06240169
35.230461,-29.97258403,-45.88918939
35.430862,-30.00712926,-45.74161625
35.631263,-30.31359598,-46.36217206
35.831663,-30.29573747,-45.14291791
36.032064,-30.58340675,-48.39940598
36.232465,-30.43600777,-45.36932229
36.432866,-30.55991094,-43.9716738
36.633267,-30.79008757,-44.93597006
36.833667,-30.82929414,-44.75653746
37.034068,-30.58496372,-46.04264533
37.234469,-30.6236109,-44.07539392
37.43487,-30.73544991,-46.91687315
37.635271,-30.6781552,-44.39409293
37.835671,-30.86445188,-42.95316351
38.036072,-30.87995119,-43.24710888
38.236473,-31.07494346,-45.89768559
38.436874,-31.20585452,-43.52143862
38.637275,-31.08652453,-42.78757058
38.837675,-31.39629789,-44.21423004
39.038076,-31.19849958,-41.85024308
39.238477,-31.10953282,-43.7266221
39.438878,-31.13890037,-42.18271968
39.639279,-30.77944389,-43.12745469
39.839679,-30.87562496,-43.0892729
40.04008,-30.95716795,-42.05757361
40.240481,-30.94050057,-41.19694718
40.440882,-31.04184636,-40.0368918
40.641283,-30.74213383,-40.66863312
40.841683,-31.07010485,-43.17716704
41.042084,-30.78199786,-42.23168636
41.242485,-30.73886197,-44.36209104
41.442886,-30.87995998,-46.31685567
41.643287,-30.97503602,-45.38467287
41.843687,-30.71782782,-46.15043485
42.044088,-30.72811856,-45.32766007
42.244489,-30.96739322,-46.64246746
42.44489,-30.97505308,-45.57100739
42.645291,-30.46388384,-47.51304563
42.845691,-31.06849687,-48.56618442
43.046092,-30.70167771,-48.72787317
43.246493,-30.84783182,-48.23311738
43.446894,-31.02488972,-49.83846254
43.647295,-31.36632779,-49.96233068
43.847695,-30.78873375,-50.98725042
44.048096,-30.94493168,-52.96936573
44.248497,-30.91032591,-51.92355124
44.448898,-31.15697886,-52.47654473
44.649299,-31.16793888,-53.46056492
44.849699,-31.1160791,-54.20242826
45.0501,-31.44038939,-55.37280592
45.250501,-31.33033197,-52.71495586
45.450902,-31.44972538,-54.6446168
45.651303,-31.77600329,-55.77798061
45.851703,-31.65889331,-56.58577254
46.052104,-32.17634863,-57.35313355
46.252505,-32.27061086,-60.41467707
46.452906,-32.36735574,-60.24953237
46.653307,-32.73072701,-61.37051818
46.853707,-32.39377776,-59.05977676
47.054108,-32.58117114,-60.0300746
47.254509,-33.14826218,-61.28775498
47.45491,-33.23977701,-61.50893753
47.655311,-33.17049304,-61.510763
47.855711,-33.34088962,-60.90657657
48.056112,-33.33842496,-63.05392686
48.256513,-33.52838575,-58.87428834
48.456914,-34.05036072,-65.60086077
48.657315,-34.7822592,-63.9617129
48.857715,-34.05808319,-65.40759612
49.058116,-34.45748471,-65.07120199
49.258517,-34.85521149,-61.8049703
49.458918,-35.15871651,-65.91914102
49.659319,-35.47280337,-66.94024237
